               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.067399,            0.019363,           0.0099392,             0.94131,             0.92962,             0.93407,             0.45474,             0.05605,            0.016071,           0.0074776,            0.006073,            0.006073,            0.006073
                 121,            0.064971,            0.018519,           0.0092827,             0.92983,             0.92142,             0.92879,             0.46589,            0.056019,             0.01413,           0.0075797,             0.00604,             0.00604,             0.00604
                 122,            0.066758,             0.01904,           0.0097419,             0.94469,             0.92523,             0.93946,             0.44368,            0.057049,            0.014251,           0.0072796,            0.006007,            0.006007,            0.006007
                 123,            0.066391,             0.01923,           0.0098186,             0.92171,             0.88901,             0.91068,             0.40882,            0.059253,            0.015403,           0.0078275,            0.005974,            0.005974,            0.005974
                 124,            0.064307,            0.019434,           0.0094505,             0.93688,             0.92632,             0.93135,             0.44383,            0.056329,            0.014012,           0.0073476,            0.005941,            0.005941,            0.005941
                 125,            0.065324,            0.018783,           0.0097371,             0.93769,             0.93515,             0.93313,             0.47006,            0.055452,             0.01415,           0.0072716,            0.005908,            0.005908,            0.005908
                 126,            0.065697,            0.019465,           0.0098995,             0.94852,             0.94348,             0.94362,             0.47028,            0.054468,            0.013981,           0.0072006,            0.005875,            0.005875,            0.005875
                 127,            0.065112,            0.018895,           0.0093159,             0.94904,             0.93431,             0.93893,             0.46804,            0.056115,            0.013989,           0.0071959,            0.005842,            0.005842,            0.005842
                 128,            0.064183,            0.019028,           0.0094724,             0.94286,             0.93318,             0.94003,             0.45754,            0.056366,            0.014299,           0.0071995,            0.005809,            0.005809,            0.005809
                 129,            0.066328,            0.019259,            0.010067,             0.95641,             0.94506,             0.95224,             0.47768,            0.054668,            0.013942,           0.0072409,            0.005776,            0.005776,            0.005776
                 130,            0.065644,            0.019918,           0.0098144,             0.92452,             0.91334,             0.91845,             0.39834,            0.058106,            0.014413,           0.0071986,            0.005743,            0.005743,            0.005743
                 131,            0.064655,            0.019093,           0.0096049,             0.94952,             0.93747,             0.94066,             0.45739,            0.055577,            0.014214,           0.0072135,             0.00571,             0.00571,             0.00571
                 132,            0.065654,            0.019498,           0.0095266,              0.9405,             0.93011,             0.94095,             0.45802,            0.056315,            0.014461,           0.0073149,            0.005677,            0.005677,            0.005677
                 133,            0.064016,            0.018261,           0.0091718,             0.90825,             0.92056,             0.92326,             0.43097,            0.057398,            0.014343,           0.0072379,            0.005644,            0.005644,            0.005644
                 134,            0.064179,            0.018106,           0.0091583,             0.93669,             0.93974,              0.9406,             0.45702,            0.055778,            0.014049,           0.0071864,            0.005611,            0.005611,            0.005611
