               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.063519,            0.018974,           0.0091415,             0.92658,             0.90829,             0.90424,             0.42774,             0.05786,            0.014265,           0.0074692,            0.005611,            0.005611,            0.005611
                 135,            0.063378,            0.019048,           0.0089489,             0.92225,             0.89207,             0.89926,             0.42959,             0.05737,             0.01441,           0.0074966,            0.005578,            0.005578,            0.005578
                 136,            0.063799,            0.019532,             0.00984,             0.92028,             0.88405,             0.89069,             0.43245,            0.057385,            0.014278,           0.0074577,            0.005545,            0.005545,            0.005545
                 137,            0.064269,            0.019052,           0.0094242,             0.91674,             0.89705,             0.89821,             0.42538,            0.057147,            0.014242,           0.0074438,            0.005512,            0.005512,            0.005512
                 138,            0.063533,            0.019175,           0.0090742,             0.91588,             0.88762,             0.89129,             0.43531,            0.056988,             0.01426,           0.0074311,            0.005479,            0.005479,            0.005479
                 139,            0.062773,             0.01918,           0.0089394,             0.92781,             0.89537,             0.90032,             0.43271,            0.056951,            0.014424,            0.007469,            0.005446,            0.005446,            0.005446
                 140,            0.063706,            0.018896,           0.0092333,             0.93099,              0.9017,              0.9121,             0.44566,            0.056583,            0.014039,           0.0074653,            0.005413,            0.005413,            0.005413
                 141,            0.063004,             0.01898,           0.0091886,              0.9166,             0.89424,             0.89451,             0.43239,            0.057539,             0.01432,           0.0074433,             0.00538,             0.00538,             0.00538
                 142,            0.063814,            0.019477,           0.0093673,             0.91754,             0.89743,             0.90123,             0.44099,            0.057666,            0.014338,           0.0074124,            0.005347,            0.005347,            0.005347
                 143,            0.063492,            0.019481,           0.0093134,             0.92036,              0.8902,             0.89859,             0.43502,            0.057754,            0.014402,           0.0075399,            0.005314,            0.005314,            0.005314
                 144,            0.064067,            0.019858,           0.0093025,             0.91599,             0.90078,             0.89614,             0.43744,            0.057073,            0.014302,           0.0074625,            0.005281,            0.005281,            0.005281
                 145,            0.063338,             0.01829,           0.0092184,              0.9276,             0.90566,             0.91078,             0.43395,            0.056563,            0.014295,           0.0073999,            0.005248,            0.005248,            0.005248
                 146,            0.063126,            0.019056,           0.0090244,             0.92357,             0.89822,             0.90241,             0.43435,            0.056274,            0.014037,           0.0073639,            0.005215,            0.005215,            0.005215
                 147,            0.062649,             0.01941,           0.0092106,             0.92895,             0.90157,             0.90681,             0.43067,            0.057354,            0.014314,           0.0073734,            0.005182,            0.005182,            0.005182
                 148,            0.062447,            0.018695,            0.010105,             0.92947,             0.90353,             0.90697,              0.4376,            0.056689,            0.014121,           0.0074293,            0.005149,            0.005149,            0.005149
                 149,             0.06278,            0.019413,           0.0088845,             0.91882,             0.89403,              0.8975,              0.4329,            0.057498,             0.01414,           0.0073795,            0.005116,            0.005116,            0.005116
                 150,            0.063095,             0.01918,           0.0090396,             0.92398,             0.89123,             0.89604,             0.43469,            0.057399,            0.014581,           0.0074695,            0.005083,            0.005083,            0.005083
                 151,             0.06397,            0.020169,           0.0092149,             0.92428,             0.89332,             0.89408,             0.44272,            0.057062,            0.014189,           0.0074631,             0.00505,             0.00505,             0.00505
                 152,            0.062566,            0.019352,           0.0089604,             0.92427,             0.89077,             0.89839,             0.43604,            0.056513,            0.014103,           0.0073852,            0.005017,            0.005017,            0.005017
                 153,            0.062973,            0.018811,           0.0092282,             0.91558,             0.88226,             0.88035,             0.42771,            0.057478,            0.014271,           0.0073867,            0.004984,            0.004984,            0.004984
                 154,            0.061593,            0.019322,           0.0087402,              0.9264,             0.88844,             0.89947,             0.44064,            0.056369,            0.014088,           0.0073809,            0.004951,            0.004951,            0.004951
                 155,            0.062586,            0.019096,           0.0091541,             0.92135,              0.8981,             0.90288,             0.44326,            0.056312,            0.014106,           0.0073442,            0.004918,            0.004918,            0.004918
                 156,            0.062527,            0.018869,           0.0090814,             0.92727,             0.90339,             0.90574,             0.44724,            0.056404,            0.014126,           0.0073454,            0.004885,            0.004885,            0.004885
                 157,            0.061973,            0.018727,           0.0094085,             0.91603,             0.89143,             0.89748,             0.43947,             0.05654,            0.014186,           0.0073894,            0.004852,            0.004852,            0.004852
                 158,             0.06237,            0.018918,           0.0090397,             0.92188,             0.89106,             0.89884,             0.42642,            0.057478,            0.014292,           0.0074471,            0.004819,            0.004819,            0.004819
                 159,            0.063303,             0.01927,            0.010627,             0.91511,             0.90102,             0.90557,             0.44327,            0.056015,            0.014057,           0.0073511,            0.004786,            0.004786,            0.004786
                 160,            0.062274,            0.018448,           0.0087805,             0.92148,             0.89437,              0.9001,             0.43783,            0.057049,            0.014164,           0.0073709,            0.004753,            0.004753,            0.004753
                 161,            0.062007,            0.019813,           0.0092302,             0.91902,             0.88573,             0.89263,             0.42844,            0.057026,            0.014229,            0.007372,             0.00472,             0.00472,             0.00472
